st,type
11-08-40sUser58 got stuck in the door & it threw her back out,Statement
you tired 10-19-40sUser29? or bored?,whQuestion
JOIN,Other
JOIN,Other
*looks around*,Statement
too many names cant think lol,Statement
seagulls off in the distance,Statement
I know to much about stuff like that now... and it scares me,Statement
doubt that ,Other
Tiff.,Statement
Hallo.,Other
"You broke my heart when I found out you had a bf, 11-06-adultsUser60",Statement
yepper,Other
hey 11-09-40sUser33,Other
JOIN,Other
yep....cool...kool...,Other
11-09-teensUser197!!!!!!!!,Other
"um...yes, me too",Other
:10-26-teensUser7!10-26-teensUser7@10-26-teensUser7 MODE #14-19teens +o 10-26-teensUser7,Other
for suree home is the best place to be ,Other
what did you do to yourself 10-19-40sUser34 ?,whQuestion
PART,Other
"Have you seen 10-19-adultsUser30, 10-19-adultsUser23?",ynQuestion
coggieeee,Statement
I saw it,Statement
wishes he had something to tug on...,Statement
lol,Other
PART,Other
hi 11-09-40sUser34,Other
Lol 11-09-20sUser87,Other
11-09-40sUser41,Statement
o<|=D,Other
lol,Other
11-08-adultsUser8,Other
lol,Other
.ACTION watches 11-08-20sUser21 lick 11-08-20sUser65.... *drools*.,Other
11-09-20sUser101 im sorry i said  wanna ago,Statement
PART,Other
hey guys,Other
jesus H christ,Other
PART,Other
.ACTION dies.,Other
doing 10-24-40sUser16 from another room 10-24-40sUser13,Statement
chronic = weed,Statement
im bored pm me guys,Statement
JOIN,Other
i do,Statement
hey 10-19-40sUser11 good to see you ,Other
I'm there,Statement
she left real fast,Statement
PART,Other
.12(((((..4 11-08-adultsUser46 ..12))))),Other
PART,Other
hi 11-09-40sUser52,Other
long time no see/type 10-19-adultsUser19....lmao,Statement
eat me,Statement
JOIN,Other
.ACTION cries.,Other
was supposed to but never happend why? ,whQuestion
near near?,ynQuestion
i wonna chat,Statement
Give me an example of an especially difficult assignment or project.,whQuestion
ALL ,Other
PART,Other
 hugzzzzzzz,Other
heyyyy 11-08-20sUser110,Other
So?,Statement
its a family tradition,Statement
"(end Live Oak, California (95953) weather)",Other
thanks 10-19-30sUser25... right on,Other
brb,Other
hi all,Other
wooooohoooo,Other
We should have a club,Statement
nakey?,ynQuestion
JOIN,Other
It's only three syllables,Statement
u were serious,Statement
yup 11-08-40sUser7,Other
nope,Other
JOIN,Other
hi 11-08-40sUser35 ,Other
please don't beat me...with your bible :),Statement
of course,Other
PART,Other
JOIN,Other
10-19-adultsUser52 - Out here,Other
.ACTION flops over on the couch and kicks everyone else off.,Other
PART,Other
PART,Other
 yeah 11-08-40sUser75,Other
JOIN,Other
PART,Other
On what kinda pervs your lookin for,whQuestion
cleared the bar lol,Statement
.ACTION watches 11-08-20sUser110 tell everyone in #talkcity-20s that they had a dream hugging 11-08-20sUser42 all night long...,Other
10-26-teensUser122 adduser 10-26-teensUser74 chanowner,Other
hi room,Other
My spelling sucks everyday,Statement
n e 1 wants some rum soaked pineapple?,Statement
PART,Other
PART,Other
why so mad 10-19-30sUser19,whQuestion
that's right.......i forgot.,Statement
Cookies 'n' Cream ice cream.,Statement
PART,Other
May I help you?,ynQuestion
nebraska is where its at,Statement
Post-haste.,Statement
hey 11-09-20sUser114,Other
how ya doin 10-19-40sUser34 ,whQuestion
JOIN,Other
just chatting,Statement
JOIN,Other
bye 11-06-adultsUser26 ,Other
"Anyone else want to see me, it's up there for a minute",Statement
bye 10-24-40sUser26,Other
poor thing,Statement
any guys have webcams?,ynQuestion
<empty>,Other
:11-09-40sUser52!11-09-40sUser52@11-09-40sUser52 MODE #40sPlus +o 11-09-40sUser52,Other
hello ;-) ,Other
PART,Other
pick me,Statement
..,Statement
hi 11-08-40sUser33,Other
or give up and realize I'm not worth the effort lol,Other
strong!,Other
Awww @ 10-19-adultsUser1,Other
yw,Statement
brb got to go here my songs,Other
ty 11-08-adultsUser1 :D,Statement
JOIN,Other
tc other 11-06-adultsUser5,Other
JOIN,Other
.ACTION watches 10-19-adultsUser28 wrap there arm around 10-19-adultsUser35 and give them a big ol' hug..,Other
11-08-adultsUser30,Other
boys,Other
11-08-20sUser121 spins the bottle .....,Statement
i live in hawaii....for a few more months,Statement
well it is because I haven't fired them that I have time to chat <grin>,Statement
What kinds of problems have you had in switching from one job to another?,whQuestion
Describe a work responsibility or project that required you to work independently.,whQuestion
hi 10-24-40sUser52,Other
lol i think of macho man i think of the village people lol ,Statement
"17/f/FL pics, wanna chat?",ynQuestion
PART,Other
PART,Other
LOL!!,Other
wow another one,Statement
JOIN,Other
Crazy,Statement
anyone wanna chat 33 m pic in profile,ynQuestion
PART,Other
hi 10-24-40sUser43,Other
in a pinch,Statement
later all  :):):),Other
nick 10-19-adultsUser28,Statement
JOIN,Other
PART,Other
hey 11-08-adultsUser102,Other
PART,Other
deliverance,Statement
lol11-08-40sUser2,Other
11-06-adultsUser112,Statement
.ACTION winks @ 10-19-adultsUser28.,Other
lol,Other
Niceeee.,Statement
JOIN,Other
"tlak bout an Eticket ride, 11-09-40sUser8",Statement
lmao 11-06-adultsUser69,Other
they said they have one more person to interview,Statement
I'm a huge video game nerd.,Statement
"so when Norah Jones sang, ""dont know why I didn't come"" I just figured how the hell could I know",Statement
.ACTION waits paitently for the topic to turn to boobs.,Other
".ACTION walks up to room damn it, runs their fingers thru the back of room damn it's hair, closes their eyes, and gently kisses room damn it on the neck, Compliments of 11-09-20sUser34!.",Other
jerkettes?? lmao,whQuestion
lol,Other
mwahhs 11-08-20sUser69,Other
How did you decide what came first?,whQuestion
hi 11-08-adultsUser1,Other
lol,Other
"wb 10-19-40sUser27 who should change her nic to ""fallout""",Other
specially ur towels,Statement
gotta try...so seriously it wasn't meant for me.....lol,Statement
and its spelled lamborgini ....incase you didnt read it on the title,Statement
Hi 11-09-40sUser52 ,Other
PART,Other
What is important to you in a job?,whQuestion
ok im sorry ,Other
ur annoying,ynQuestion
JOIN,Other
my comp!!!,Other
lol,Other
:(,Other
ribs,Statement
who's calling who imaginary?,whQuestion
JOIN,Other
Hey 11-09-20sUser144!!!,Other
we w ere just talking about jesus trials throught the desert and the temptations that pursued him,Statement
i did,Statement
It's a room rule,Statement
what is unusual about it?,whQuestion
JOIN,Other
lol,Other
JOIN,Other
hi 10-19-adultsUser36,Other
yep,Other
You got it 11-09-20sUser158..,Other
mine too,Statement
has to color her hair tomorrow.. meant to do it today,Statement
You could be one.,Statement
hey wb 11-09-40sUser47,Other
nah your pic is just fine ,Other
JOIN,Other
pervert 11-08-40sUser2...,Statement
yeah check out schmoopies butt too while your at it    its FINE!!,Other
omg i cant wait til cars come out..im gonna buy it..aqwesome movie,Statement
hiya room,Other
"11-09-40sUser28  ok here , You ?",whQuestion
"ask no questions, hear no lies, huh?",ynQuestion
It was really annoying,Statement
JOIN,Other
.ACTION is resisting.,Other
JOIN,Other
who is 10-24-40sUser12?,whQuestion
elbows? its not knees anymore??,ynQuestion
i'm good ....busy..very busy but good...you???,Statement
JOIN,Other
I'm a druid,Statement
ty 11-08-adultsUser35,Statement
i want your cookie,Statement
PART,Other
"16 f hong kong, anyone wanna chat, pm me ;-) ",Statement
"How did you approach her or him, and what was the result?",whQuestion
lol,Other
<11-06-adultsUser53 your easy to beat up,Statement
a beach ball??,ynQuestion
17 m irl,Statement
well.. i was in the army... stationed there... LOL,Statement
damn 10-19-30sUser17... ,Other
hi 10-24-40sUser45,Other
".ACTION walks up to 11-09-20sUser156, runs their fingers thru the back of 11-09-20sUser156's hair, closes their eyes, and gently kisses 11-09-20sUser156 on the neck, Compliments of 11-09-20sUser34!.",Other
hi 10-19-40sUser43,Other
Which part do you like the most in this story?,whQuestion
like mmmmmmmmiiiiiiiiinnnnnnnnneeeeeeee,Other
yes 10-19-40sUser34?,whQuestion
sometimes thats the best way 11-09-40sUser18 .... at least you can get away from the noise   ,Statement
PART,Other
lmaooooo,Other
"to play an atmospheric adventure together, it's great.  I love co op.",Statement
seriously?  i didnt think he would ever come back to TC,Statement
wheeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Other
11-06-adultsUser42's voice is hawt mmmmm :-o,Statement
PART,Other
um 11-09-40sUser18,Statement
hi guts,Other
PART,Other
s nice,Statement
who was looking for someone horny?,whQuestion
PART,Other
PART,Other
that depends if neysa's cooking it 11-08-adultsUser102,Statement
this edmonton/detroit game is goin to shit,Statement
its my sons wireless laptop,Statement
PART,Other
.ACTION is listening to .Eddie Money - Shakin. ...,Other
chilly?  its one of our loveliest days in ages here in MD,Statement
hello,Other
About your.,Statement
no need to yell 11-08-adultsUser19,Other
PART,Other
PART,Other
lol,Other
!seen 11-08-20sUser196,Other
JOIN,Other
lol,Other
breathe,Statement
damn,Other
.ACTION rolls 11-06-adultsUser99 over and lixxx her back.,Other
:-o,Other
Any guys from GA wanna chat? PM me -------------> 19/f/GA here!,Other
hi 11-08-40sUser69,Other
nite 10-19-30sUser7,Other
sorry ,Other
"hi 10-24-40sUser16, hi 10-24-40sUser14",Other
"I need you to heal my soul ,Hold me now ,see by me ,,",Statement
what goes round and round and burns?,whQuestion
JOIN,Other
JOIN,Other
".ACTION beats herself over the head with a bible ""make it stop make it stop!"".",Other
well we just come here and hang out with our lame asses,Statement
PART,Other
finger?,ynQuestion
PART,Other
u r not on meds ,Other
wb 10-24-40sUser52,Other
who wants to learn spanish ,whQuestion
hey 11-08-40sUser29,Other
Can the dog swim?,ynQuestion
Describe a situation where your work or idea was criticized.,whQuestion
You liked it?,ynQuestion
hi,Other
hey 11-06-adultsUser37,Other
Rofl 10-19-adultsUser32,Other
hey,Other
JOIN,Other
JOIN,Other
me ??,ynQuestion
how yer doing love?,whQuestion
hi 11-09-teensUser156...,Other
What did she say?,whQuestion
.ACTION wanders over to the corner .,Other
"11-06-adultsUser105, as soon as you send me yours",Statement
What did you do?,whQuestion
NICK :10-19-adultsUser32,Other
JOIN,Other
.ACTION repeats moans in 11-06-adultsUser107's whisper.,Other
"Nadda, y tu?",whQuestion
howdy 10-24-40sUser44,Other
JOIN,Other
not white shoes...bucks,Other
.ACTION licks 10-19-20sUser116's ear.,Other
on the radio,Other
it goes both ways dear,Statement
Where were the keys?,whQuestion
Horace.,Statement
bad car accident on the way here,Statement
from azerbaijan,Other
is gonna make u jump jump? oh old school,ynQuestion
11-06-adultsUser24 I do ;-),Statement
you make it 10-19-30sUser43,Statement
<is watchin the screen,Statement
ky,Statement
what can I say I like pussy,Statement
.ACTION sticks his fingers in 10-19-20sUser7s face.,Other
i'm great 10-19-adultsUser32 ;),Statement
11-09-20sUser80 you like me,Statement
PART,Other
bwahahahahahahahahahaha,Other
yw 10-19-20sUser139,Statement
;p,Other
ok nice to meet you 11-06-adultsUser64,Statement
hey 10-19-30sUser26... out of the pm please,Statement
how are ya ll ,whQuestion
i suck,Statement
"Everytime I try to tell you ,,,seems the words slip my mind and I fall deeper and deeper ,,,",Statement
PART,Other
*waves n stuff*,Other
Anyway,Statement
wats are they?,whQuestion
JOIN,Other
oh.. never knew that,Statement
.ACTION Fingers*.,Other
JOIN,Other
heyy 11-09-20sUser144,Other
hey 11-09-teensUser136,Other
I hit that,Statement
didnt even look hang on,Statement
"if you wanna yak, pm me",Statement
Hi 11-09-20sUser146 ,Other
your a guy too ?????,ynQuestion
"thot it was just a haze left over from the 60s, 11-09-40sUser3",Statement
JOIN,Other
"I cant play scrabble worth a crap, but I rule at name that tune",Statement
wow!!!  didn't realize that,Other
10-19-30sUser11,Other
JOIN,Other
busy day,Statement
lol 10-19-30sUser3 .... :),Other
ty 11-08-40sUser18!,Other
"lol, no mystery then 10-24-40sUser3",Statement
 nite,Other
.ACTION has been gone too long... doesn't recognize many ppl!!!!!.,Other
PART,Other
PART,Other
PART,Other
are you sexy?,ynQuestion
PART,Other
hello everyone,Other
27 male maryland,Statement
lol...11-08-40sUser18,Other
hi 10-24-40sUser40 ,Other
 sorry didnt see ya...,Statement
JOIN,Other
ello 11-08-20sUser121,Other
ty and hello nice lady,Statement
whose the sick girl,whQuestion
that is ok,Other
Way to lie,Statement
hi 10-19-40sUser53,Other
LOL shhhh,Other
<---11-06-adultsUser64,Statement
shut up 10-19-30sUser17... everyone is sexy,Statement
JOIN,Other
JOIN,Other
JOIN,Other
hi 10-24-40sUser14,Other
didnt see you there,Statement
PART,Other
My bad 11-08-40sUser70.. you not the same one,Statement
hehe,Other
LOL,Other
<--bitches and complains about how bad her life has been recently but i'll stop now,Statement
JOIN,Other
unisom,Statement
Does she speak English?,ynQuestion
 oops far,Other
JOIN,Other
no mame,Other
ooh 11-09-20sUser114 you vamp you,Statement
What did you do?,whQuestion
LMAO @ 80 ,Other
i want cho-co-la-te.,Other
PART,Other
lol,Other
I've had enough,Statement
lets play naked twister,Statement
hi!!!!11,Other
"and ur problem there, 11-09-40sUser30???",whQuestion
PART,Other
Hi 11-08-40sUser65,Other
JOIN,Other
PART,Other
hi 11-09-40sUser34 \,Other
hi 10-24-40sUser28,Other
LOL @ moped   ,Other
What job-related publications do you normally read?,whQuestion
PART,Other
JOIN,Other
.ACTION goes to find an empty pot .... and where is my cup again .,Other
llloooozzzzeeerrrrzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,Statement
JOIN,Other
ewwwwww,Other
My car is nicer than yours is....  #### you were leading the way here bitdh,Statement
shes sick maybe,Statement
LOL,Other
lol 10-19-adultsUser16   keep up here,Statement
hi,Other
i do bite 10-19-20sUser6...,Other
;),Other
lol hi 10-19-40sUser19,Other
blood on the plow,Other
JOIN,Other
lol guess i need to keep up with the new techniques of elbows,Statement
lol 10-19-20sUser7,Other
.ACTION WHOA! We got some action baby.... 11-09-20sUser89 and 11-09-20sUser34 are french kissing!.,Other
PART,Other
11-08-20sUser70 be nice to 11-08-20sUser21,Statement
PART,Other
JOIN,Other
lol,Other
PART,Other
hows things holdin up 11-09-40sUser52?,whQuestion
JOIN,Other
lol,Other
.9Lime Player 12%.)(.Song 247 of 423.).,Other
lol,Other
wants you to what,whQuestion
I know hank and hank jr,Statement
oh no,Statement
They want let no body but immediate family back there ... makes me sad,Statement
I can't stay on to late tonight I have homework =(,Statement
!td,Other
i just listen to it alot ,Statement
hehehehe,Other
hi 11-08-40sUser7,Other
depends on how long its been since you did it last 10-19-40sUser53 ,Statement
.ACTION dances naked.,Other
I see ,Statement
lol,Other
PART,Other
JOIN,Other
eh good hows things 11-06-adultsUser105?,whQuestion
hi 11-08-40sUser24,Other
hey jeff and 11-08-adultsUser104 and 11-08-adultsUser35,Other
PART,Other
11-09-40sUser39  I live in Ct .. and no I dont want to have an affair ,Statement
"Yeah, there's a real flaw... honesty....",Other
 Lousiana,Statement
lets go huskers,Statement
JOIN,Other
it's so hard to follow...,Statement
rotflmao ,Other
hi,Other
muh nose is cold,Statement
PART,Other
tick tock,Statement
lol,Other
any hot girls wanna chat with a hot 19 m usa whisper me,Statement
11-08-adultsUser95!!,Other
that red color bit my eye man...,Statement
I do ,Other
10-19-40sUser52,Other
teck n9ne is back fellows,Statement
hey 10-19-30sUser9... i'm from CO,Other
PART,Other
11-09-40sUser43,Statement
24/m,Statement
and a female ,Other
hi 11-08-40sUser59,Other
no,Other
heya 10-24-40sUser20!,Other
"whats pink, silver and red?",whQuestion
who,whQuestion
.ACTION wears white socks ... and I change them every day whether or not they need changing.,Other
HALO 10-19-adultsUser35..WTF ARE YOU TALKING ABOUT,whQuestion
"They let YOU in the army, 11-09-40sUser52?",ynQuestion
heyyyyyyyyy 11-08-adultsUser78 :),Other
lol,Other
I'll take big barks over cool any day,Statement
JOIN,Other
PART,Other
Why 10-19-adultsUser45?,whQuestion
"ok,,doggies are all set now",Statement
11-06-adultsUser17,Statement
LOL,Other
11-09-adultsUser27,Statement
JOIN,Other
heya 11-06-adultsUser25,Other
gets called a hick everyday by a special person...so its ok lol,Statement
Who did you ask to participate?,whQuestion
hi 10-19-40sUser11 ,Other
"10-19-adultsUser37 - Dood, yer gay, face it. .And if yer not gay then yer bi. You should be old enough to tell the difference already.",Statement
.ACTION kicks 11-06-adultsUser42.,Other
JOIN,Other
wb 10-19-40sUser27,Other
they were from sf ,Statement
"well just make something up, pretend Im naked",Statement
27-m-canada with cam girls pm me,Statement
"10-19-30sUser31, it is not up.",Other
"10-24-40sUser42, make it quick though, i have to go pick robbie up in about five minutes ",Statement
winks 11-09-40sUser30,Statement
NICK :10-19-30sUser10,Other
:10-26-teensUser15!10-26-teensUser15@10-26-teensUser15 MODE #14-19teens +o 10-26-teensUser15,Other
is yummylicious,Statement
PART,Other
PART,Other
AWAY SEE LATER,Other
da gal in da green shirt mary???,ynQuestion
or hit me over the head,Other
oh okikes,Statement
t'anks tableof10-24-40sUser50,Statement
man in black,Statement
JOIN,Other
.ACTION kidding..,Other
.wz 57401,Other
anyone guys wanna pm,ynQuestion
hi 10-19-30sUser19,Other
what one word can do for some people...easy there 10-19-30sUser3...lol,Statement
lmao,Other
Poor girls almost 30,Statement
its my first time here,Statement
Anyone want to chat?,ynQuestion
hi 10-24-40sUser47,Other
 yeah normy I am comfy hehe,Other
hi 10-19-40sUser30,Other
JOIN,Other
hey 11-08-adultsUser35,Other
rofl 11-09-40sUser49,Other
PART,Other
o ya,Other
if you dont beat me with your torah,Statement
Lmao.,Other
JOIN,Other
 :-) ,Other
yeah but i was currious as to why not,Other
even 11-08-40sUser55,Other
hiya 11-09-40sUser34,Other
hi 10-19-40sUser54,Other
"17/f/FL pics, wanna chat?",ynQuestion
PART,Other
PART,Other
mac davis,Statement
my hands are freeezinggggg,Statement
Jerketts,Statement
hi 11-08-40sUser46,Other
lol 11-09-40sUser52,Other
how many LIX      DOES it take to get to the middle ????,whQuestion
Im from east LA im wit da 18ST,Statement
JOIN,Other
PART,Other
hi 11-09-40sUser19,Other
:P,Other
i 11-08-40sUser35,Other
PART,Other
"the ice cream guys says, 'what flavour??@",Statement
.Question:. Favorite junk food besides candy?,Other
some one kick him out,Statement
11-08-40sUser48....hugs hun,Other
lol 11-08-20sUser21,Other
lol 10-19-30sUser28,Other
tc 10-19-adultsUser36,Other
dang it. just as i predicted.  no one pm's me.,Statement
hey 10-19-40sUser25....someone said he was coming up for thanksgiving....you should come with him ,Statement
JOIN,Other
slowly comes to a stop... pointing at 11-08-20sUser106!!!,Other
oh yeah,Other
cool 11-08-40sUser7 !!!!!,Other
hertory,Statement
bye 10-19-40sUser49,Other
PART,Other
fart?,ynQuestion
PART,Other
JOIN,Other
No,Other
PART,Other
hi 11-08-40sUser56,Other
yeah,Other
hey 11-08-adultsUser3!,Other
PART,Other
Hiya 10-24-40sUser12,Other
PART,Other
thank you vm,Statement
lol,Other
"sighs.. story of my life, 11-09-40sUser22",Statement
PART,Other
11-06-adultsUser69 too,Other
JOIN,Other
or get out,Other
hey 10-19-30sUser31,Other
a queen anyway,Statement
is that what you call your harley?,ynQuestion
is he your fiance??,ynQuestion
Have you ever had an experience in which you were glad you had paid attention to some particular detail?,ynQuestion
kool...with a K?,ynQuestion
i am a virgin,Statement
^_^,Other
"whoa, now that was some blood loss",Statement
11-06-adultsUser15,Statement
hi 10-19-40sUser30,Other
lol 10-19-40sUser3,Other
gee i couldnt tell 11-06-adultsUser107,Statement
hi 11-09-20sUser45,Other
JOIN,Other
JOIN,Other
hi 11-09-40sUser46,Other
!kiss 11-09-20sUser89,Other
hugs 10-19-40sUser27   dad is  bed bound  with  fractured compoud  vetrabrate,Statement
10-19-adultsUser28?,ynQuestion
yeah me too,Other
ol albert pujols iz a hottie like 10-24-40sUser12 ,Statement
Hey wazz up anybody from tacoma WA,ynQuestion
HOW R U ALL DOING 2DAY,whQuestion
jw,Statement
lol,Other
PART,Other
:10-26-teensUser74!10-26-teensUser74@10-26-teensUser74 MODE #14-19teens +o 10-26-teensUser79,Other
oh ok then 10-19-adultsUser1 nm,Statement
JOIN,Other
phone brb,Other
i think so actually,Other
PART,Other
sup yoll,Other
what r u guys doing ,whQuestion
I need 2  opr  on me  10-19-40sUser27  as her evil  twin  enters room,Statement
.ACTION waves to 11-06-adultsUser42.,Other
PART,Other
PART,Other
hello how are you,whQuestion
wb 10-19-adultsUser34,Other
:10-26-teensUser122!10-26-teensUser122@10-26-teensUser122 MODE #14-19teens -o 10-26-teensUser54,Other
PART,Other
forwads away from 10-19-20sUser121,Statement
farts,Statement
i just broke up with my gf.(long term)..i started experimenting with myspace.com. i met this local girl. She brought her cousin over last night..they sucked me boned dry. all i had to provide was 49 dollars worth beer,Statement
lol 11-09-40sUser48,Other
so! Mmm,Statement
hi 10-19-40sUser9,Other
dratts 11-09-20sUser34...you can go to kent but not wiltou fascist,Statement
go Cardinals!!,Statement
.ACTION  smiles .,Other
hey 11-08-adultsUser102,Other
awww thanks,Statement
you never stay and chat 11-08-20sUser69,Statement
lol,Other
PART,Other
they are not,Other
PART,Other
hi 11-08-adultsUser1,Other
11-08-20sUser91 i never had a girlfriend,Statement
hi everyone,Other
PART,Other
PART,Other
I'm land,Statement
.ACTION doesn't do therapy.,Other
lol 10-19-adultsUser47,Other
Round and round it goes .....,Statement
both ways...wid salsa,Statement
ok 11-08-40sUser18 . la la la....name that tune,Statement
any sexy females want to chat ,ynQuestion
JOIN,Other
my,Other
hi 10-19-40sUser16 ,Other
maybe not 11-09-40sUser56,Statement
i know but i just get a cheap thrill from teasing,Statement
Wowsa.... big Sneeze I didn't get anybody did I? lol,ynQuestion
how are you?,whQuestion
thinks......wow great legs,Statement
How will he win the race?,whQuestion
lol 10-19-40sUser4,Other
dang thats cold,Statement
good how are you,whQuestion
its cool,Statement
same there for me 11-09-40sUser39,Statement
hehe,Other
"like Silent Hill, Clock Tower and Resident Evil",Statement
ltns,Statement
JOIN,Other
yep,Other
Don't kick him,Other
I've never seen: agirl.,Other
right,Other
< some guy,Statement
yes it does,Other
WEEEEEEEEEEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!!!,Other
NIght 11-06-adultsUser53,Other
JOIN,Other
ill miss whoever the hell he was,Statement
hurling,Other
PART,Other
PART,Other
haha,Other
hey 10-19-30sUser3,Other
still morning here so morning 11-09-20sUser87!!,Other
hiya 11-09-40sUser49,Other
 11-08-40sUser75 heyyyyyyyy,Other
JOIN,Other
Hello 10-19-40sUser11,Other
ya ,Statement
JOIN,Other
is there a chat room here that deals with sports and fitness or not ,ynQuestion
you mean lucifer,Other
PART,Other
catches 11-08-adultsUser1,Statement
yep...,Other
most of us do NOT criss-cross,Other
Heya 11-06-adultsUser105,Other
wb 11-09-40sUser30,Other
"Welcome to #talkcity_adults, To get your own game/control bot see Dawnstar! Visit http://www.shadowbots.com",Other
lol,Other
11-08-teensUser144!,Other
if i get stoned im just carrying on a family tradition,Statement
maybe i should put a new pic up,Statement
sup  10-19-adultsUser37 ???????,whQuestion
JOIN,Other
no,Other
huggs 10-24-40sUser16; 10-24-40sUser21; everyone,Statement
hi room,Other
hello 11-08-40sUser7 and 11-08-40sUser19,Other
Can you describe a work-related occasion when you felt you made up your mind too quickly?,ynQuestion
damn,Other
ok,Other
Hey everyone!,Other
.ACTION snuggles 11-09-20sUser80.,Other
PART,Other
Your brown skin shinnin' in the sunnn.,Other
'ello,Statement
yawn...,Other
K-Fed got his ass kicked.. Lol,Statement
"omg 11-09-40sUser18, laughing my ass off here",Statement
howdy,Other
PART,Other
I would think,Other
hello everyone,Other
how you doin 10-19-20sUser139,whQuestion
"put him in the ""untouchable"" list 10-19-20sUser115",Statement
nothing like just turning your ps2 on and playing.,Statement
God told me.,Statement
where is your home,whQuestion
Don't do that whisper shit.,Other
have to politely disagree with u 11-09-40sUser39 and say bull,Other
no rain here..for a change LOL,Other
PART,Other
PART,Other
Lol,Other
sucks being you then huh? j/k :),ynQuestion
10-19-40sUser20 has an awesome pic too :),Statement
"What are you doin, 10-19-adultsUser28? Dang, yer so quiet.",whQuestion
hey 11-08-40sUser0....no wine tonight???lol,ynQuestion
"nada again 10-19-30sUser17, u?",Other
;-),Other
Whom did you see in the morning?,whQuestion
I really recomend getting the free subscription if you eat cereals just get a kellogs marked box,Statement
hi 11-08-40sUser70,Other
yes  10-19-40sUser11  like  mind,Other
keep them sharp on the furniture 11-09-40sUser19 ;),Statement
hey 11-09-adultsUser72,Other
I get different nic names but 11-09-40sUser45 is a first....lol,Statement
lmao@darling.. he's a guy!,Other
.watching criss angel..,Statement
Howdy 11-08-40sUser7.....,Other
its a holiday!!!!!!,Other
10-19-40sUser47 get lost?,ynQuestion
PART,Other
i missedyouuu,Statement
that's right,Other
yea 11-06-adultsUser5,Other
hello 10-19-30sUser9 :),Other
JOIN,Other
:),Other
wb 11-09-40sUser2,Other
JOIN,Other
tries to stay out of barfights lol,Statement
opps,Other
night ya'all.,Other
hi 10-19-40sUser33 m 10-19-40sUser34 10-19-40sUser8 ,Other
PART,Other
PART,Other
Uh.,Statement
hi 11-08-40sUser56,Other
.ACTION doesnt take comments in chat too seriously .,Other
JOIN,Other
Describe a situation in which a subordinate had a performance or disciplinary problem,whQuestion
19/m/fl any fl girls here pm me,Statement
lol 10-19-adultsUser28,Other
JOIN,Other
PART,Other
it can be rough,Statement
shut up bitch,Other
what would you say?,whQuestion
at least not physically,Other
PART,Other
lol 10-19-adultsUser35   tell it like it is,Statement
PART,Other
under achiever front and center...yes I am.....lol,Statement
"""all my ex's live in texas""",Statement
10-19-30sUser35...is that italian?,ynQuestion
lol,Other
best offer in a while,Statement
say no,Statement
at what time,whQuestion
HE,Other
JOIN,Other
she's the exception,Statement
JOIN,Other
